"anio","codigo_canton","provincia","canton","matricula_estatal_total","matricula_mujeres","matricula_hombres","matricula_sexo_no_especificado","porcentaje_mujeres","porcentaje_hombres","matricula_primer_ingreso","matricula_no_primer_ingreso","universidad_predominante","cantidad_universidad_predominante","carrera_predominante","cantidad_carrera_predominante","cantidad_universidades_distintas","cantidad_carreras_distintas"
2022,201,"ALAJUELA","ALAJUELA",8401,4534,3867,0,53.97,46.03,1808,6593,"UNIVERSIDAD TECNICA NACIONAL",3319,"ADMINISTRACION DE EMPRESAS",558,5,362
2022,202,"ALAJUELA","SAN RAMON",3655,2113,1542,0,57.81,42.19,583,3072,"UNIVERSIDAD DE COSTA RICA",1719,"ADMINISTRACION DE EMPRESAS",229,5,283
2022,203,"ALAJUELA","GRECIA",2264,1197,1067,0,52.87,47.13,384,1880,"UNIVERSIDAD DE COSTA RICA",1075,"INFORMATICA EMPRESARIAL",99,5,253
2022,204,"ALAJUELA","SAN MATEO",202,124,78,0,61.39,38.61,37,165,"UNIVERSIDAD TECNICA NACIONAL",64,"ADMINISTRACION DE EMPRESAS",15,5,87
2022,205,"ALAJUELA","ATENAS",951,524,427,0,55.1,44.9,177,774,"UNIVERSIDAD DE COSTA RICA",359,"CONTABILIDAD Y FINANZAS",73,5,192
2022,206,"ALAJUELA","NARANJO",1557,876,681,0,56.26,43.74,280,1277,"UNIVERSIDAD DE COSTA RICA",542,"ADMINISTRACION DE EMPRESAS",84,5,225
2022,207,"ALAJUELA","PALMARES",1482,805,677,0,54.32,45.68,242,1240,"UNIVERSIDAD DE COSTA RICA",656,"ADMINISTRACION DE EMPRESAS",102,5,222
2022,208,"ALAJUELA","POAS",907,535,372,0,58.99,41.01,166,741,"UNIVERSIDAD DE COSTA RICA",297,"ADMINISTRACION DE EMPRESAS",49,5,180
2022,209,"ALAJUELA","OROTINA",571,326,245,0,57.09,42.91,106,465,"UNIVERSIDAD DE COSTA RICA",177,"ADMINISTRACION DE EMPRESAS",33,5,144
2022,210,"ALAJUELA","SAN CARLOS",5210,3073,2137,0,58.98,41.02,1033,4177,"UNIVERSIDAD ESTATAL A DISTANCIA",1339,"ADMINISTRACION DE EMPRESAS",388,5,269
2022,211,"ALAJUELA","ZARCERO",496,304,192,0,61.29,38.71,110,386,"UNIVERSIDAD DE COSTA RICA",210,"ADMINISTRACION DE EMPRESAS",25,5,150
2022,212,"ALAJUELA","SARCHI",555,288,267,0,51.89,48.11,92,463,"UNIVERSIDAD DE COSTA RICA",220,"ADMINISTRACION DE EMPRESAS",28,5,143
2022,213,"ALAJUELA","UPALA",1717,1145,572,0,66.69,33.31,303,1414,"UNIVERSIDAD ESTATAL A DISTANCIA",891,"EDUCACION GENERAL BASICA I Y II CICLOS",217,5,165
2022,214,"ALAJUELA","LOS CHILES",683,459,224,0,67.2,32.8,137,546,"UNIVERSIDAD ESTATAL A DISTANCIA",281,"ADMINISTRACION DE EMPRESAS",59,5,116
2022,215,"ALAJUELA","GUATUSO",481,318,163,0,66.11,33.89,93,388,"UNIVERSIDAD ESTATAL A DISTANCIA",163,"EDUCACION RURAL I Y II CICLOS",46,5,111
2022,216,"ALAJUELA","RIO CUARTO",241,151,90,0,62.66,37.34,48,193,"UNIVERSIDAD ESTATAL A DISTANCIA",97,"ADMINISTRACION DE EMPRESAS",26,5,83
2022,301,"CARTAGO","CARTAGO",4753,2425,2328,0,51.02,48.98,815,3938,"UNIVERSIDAD DE COSTA RICA",1821,"ADMINISTRACION DE EMPRESAS",475,5,338
2022,302,"CARTAGO","PARAISO",1541,802,739,0,52.04,47.96,253,1288,"UNIVERSIDAD DE COSTA RICA",676,"ADMINISTRACION DE EMPRESAS",142,5,238
2022,303,"CARTAGO","LA UNION",2610,1363,1247,0,52.22,47.78,462,2148,"UNIVERSIDAD DE COSTA RICA",1363,"ADMINISTRACION DE EMPRESAS",251,5,316
2022,304,"CARTAGO","JIMENEZ",550,331,219,0,60.18,39.82,89,461,"UNIVERSIDAD DE COSTA RICA",280,"ADMINISTRACION DE EMPRESAS",40,5,147
2022,305,"CARTAGO","TURRIALBA",2798,1494,1304,0,53.4,46.6,475,2323,"UNIVERSIDAD DE COSTA RICA",1305,"ADMINISTRACION DE EMPRESAS",187,5,256
2022,306,"CARTAGO","ALVARADO",376,218,158,0,57.98,42.02,72,304,"UNIVERSIDAD DE COSTA RICA",175,"ADMINISTRACION DE EMPRESAS",31,5,136
2022,307,"CARTAGO","OREAMUNO",1285,637,648,0,49.57,50.43,209,1076,"UNIVERSIDAD DE COSTA RICA",544,"ADMINISTRACION DE EMPRESAS",118,5,209
2022,308,"CARTAGO","EL GUARCO",1309,693,616,0,52.94,47.06,221,1088,"UNIVERSIDAD DE COSTA RICA",525,"ADMINISTRACION DE EMPRESAS",134,5,214
2022,401,"HEREDIA","HEREDIA",3779,2039,1740,0,53.96,46.04,613,3166,"UNIVERSIDAD NACIONAL",1326,"ADMINISTRACION DE EMPRESAS",239,5,357
2022,402,"HEREDIA","BARVA",1368,730,638,0,53.36,46.64,229,1139,"UNIVERSIDAD NACIONAL",554,"ADMINISTRACION",93,5,252
2022,403,"HEREDIA","SANTO DOMINGO",1307,663,644,0,50.73,49.27,208,1099,"UNIVERSIDAD DE COSTA RICA",551,"ADMINISTRACION DE EMPRESAS",77,5,252
2022,404,"HEREDIA","SANTA BARBARA",974,547,427,0,56.16,43.84,194,780,"UNIVERSIDAD NACIONAL",303,"ADMINISTRACION DE EMPRESAS",64,5,202
2022,405,"HEREDIA","SAN RAFAEL",1611,882,729,0,54.75,45.25,300,1311,"UNIVERSIDAD NACIONAL",707,"ADMINISTRACION",107,5,258
2022,406,"HEREDIA","SAN ISIDRO",748,397,351,0,53.07,46.93,161,587,"UNIVERSIDAD DE COSTA RICA",280,"ADMINISTRACION",45,5,180
2022,407,"HEREDIA","BELEN",669,316,353,0,47.23,52.77,106,563,"UNIVERSIDAD DE COSTA RICA",285,"ADMINISTRACION DE EMPRESAS",29,5,185
2022,408,"HEREDIA","FLORES",677,358,319,0,52.88,47.12,101,576,"UNIVERSIDAD DE COSTA RICA",262,"ADMINISTRACION",38,5,198
2022,409,"HEREDIA","SAN PABLO",967,497,470,0,51.4,48.6,146,821,"UNIVERSIDAD NACIONAL",374,"ADMINISTRACION",74,5,211
2022,410,"HEREDIA","SARAPIQUI",1621,1002,619,0,61.81,38.19,351,1270,"UNIVERSIDAD NACIONAL",520,"ADMINISTRACION",117,5,173
2022,501,"GUANACASTE","LIBERIA",2260,1226,1034,0,54.25,45.75,461,1799,"UNIVERSIDAD DE COSTA RICA",759,"ADMINISTRACION",144,5,222
