"anio","codigo_canton","canton_original","canton","indice_competitividad","ranking_competitividad","categoria_competitividad","pilar_economico","pilar_empresarial","pilar_gobierno","pilar_laboral","pilar_infraestructura","pilar_innovacion","pilar_calidad_vida","femicidio_art_21","femicidio_otros_contextos","femicidio_ampliado","sospecha_femicidio","homicidios_mujeres_no_femicidio","homicidios_mujeres_sin_revision","homicidios_mujeres_pendientes","homicidios_indeterminado","femicidios_registrados","muertes_violentas_mujeres_total","matricula_estatal_total","matricula_mujeres","matricula_hombres","matricula_sexo_no_especificado","porcentaje_mujeres","porcentaje_hombres","matricula_primer_ingreso","matricula_no_primer_ingreso","universidad_predominante","cantidad_universidad_predominante","carrera_predominante","cantidad_carrera_predominante","cantidad_universidades_distintas","cantidad_carreras_distintas"
2022,208,"Poás","POAS",46.0017144680023,34,"Medio",41.5347546339035,33.2928121089935,35.5728179216385,51.7762422561646,63.4683907032013,49.9665200710297,46.4004725217819,0,0,0,0,1,0,0,0,0,1,907,535,372,0,58.99,41.01,166,741,"UNIVERSIDAD DE COSTA RICA",297,"ADMINISTRACION DE EMPRESAS",49,5,180
2022,209,"Orotina","OROTINA",48.5423386096954,23,"Medio",60.8812093734741,37.032550573349,49.4093239307404,50.5350530147552,48.1908708810806,42.4955189228058,51.2518465518951,0,0,0,0,0,0,0,0,0,0,571,326,245,0,57.09,42.91,106,465,"UNIVERSIDAD DE COSTA RICA",177,"ADMINISTRACION DE EMPRESAS",33,5,144
2022,210,"San Carlos","SAN CARLOS",47.3449915647507,30,"Medio",42.4475699663162,36.7670208215714,33.7564319372177,65.8579885959625,53.0124306678772,45.8306699991226,53.7428259849548,0,1,0,0,1,0,0,0,1,2,5210,3073,2137,0,58.98,41.02,1033,4177,"UNIVERSIDAD ESTATAL A DISTANCIA",1339,"ADMINISTRACION DE EMPRESAS",388,5,269
2022,211,"Zarcero","ZARCERO",42.4694895744324,53,"Medio",29.9222081899643,25.5782008171082,42.5920069217682,42.7737832069397,48.3541905879974,54.9190640449524,53.1469643115997,0,0,0,0,0,0,0,0,0,0,496,304,192,0,61.29,38.71,110,386,"UNIVERSIDAD DE COSTA RICA",210,"ADMINISTRACION DE EMPRESAS",25,5,150
2022,212,"Sarchí","SARCHI",46.9549626111984,32,"Medio",41.9238060712814,27.7693897485733,46.4101761579514,46.6695815324783,64.3750727176666,54.1610479354858,47.3756581544876,0,0,0,0,0,0,0,0,0,0,555,288,267,0,51.89,48.11,92,463,"UNIVERSIDAD DE COSTA RICA",220,"ADMINISTRACION DE EMPRESAS",28,5,143
2022,213,"Upala","UPALA",34.818959236145,73,"Bajo",30.1395386457443,25.2000451087952,35.1948648691177,37.9521101713181,38.9134854078293,30.3590893745422,45.9735810756683,0,0,0,0,0,0,0,0,0,0,1717,1145,572,0,66.69,33.31,303,1414,"UNIVERSIDAD ESTATAL A DISTANCIA",891,"EDUCACION GENERAL BASICA I Y II CICLOS",217,5,165
2022,214,"Los Chiles","LOS CHILES",31.7027777433395,78,"Bajo",25.0835001468658,25.8205980062485,33.9856147766113,33.5204273462296,33.9090019464493,29.5386046171188,40.0616943836212,0,0,0,0,0,0,0,0,0,0,683,459,224,0,67.2,32.8,137,546,"UNIVERSIDAD ESTATAL A DISTANCIA",281,"ADMINISTRACION DE EMPRESAS",59,5,116
2022,215,"Guatuso","GUATUSO",30.4076224565506,79,"Bajo",17.4426272511482,23.4630972146988,41.2121534347534,23.0164498090744,33.8715672492981,19.3079739809036,54.5394957065582,0,0,0,0,0,0,0,0,0,0,481,318,163,0,66.11,33.89,93,388,"UNIVERSIDAD ESTATAL A DISTANCIA",163,"EDUCACION RURAL I Y II CICLOS",46,5,111
2022,301,"Cartago","CARTAGO",61.4099979400635,8,"Alto",68.7092244625092,39.6020084619522,44.2431747913361,73.6790835857391,66.1203503608704,86.5328431129456,50.9833216667175,0,0,0,0,1,0,0,0,0,1,4753,2425,2328,0,51.02,48.98,815,3938,"UNIVERSIDAD DE COSTA RICA",1821,"ADMINISTRACION DE EMPRESAS",475,5,338
2022,302,"Paraíso","PARAISO",50.4899680614471,17,"Medio",46.369856595993,35.2364033460617,40.8731579780579,59.3253135681152,59.0328276157379,49.276140332222,63.3160889148712,0,0,0,0,0,0,0,0,0,0,1541,802,739,0,52.04,47.96,253,1288,"UNIVERSIDAD DE COSTA RICA",676,"ADMINISTRACION DE EMPRESAS",142,5,238
